property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
1794392,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_10_marla_intagrated_design_main_boulevard_available_for_sale-1794392-9432-1.html,House,23500000,Askari,Lahore,Punjab,31.537239000000003,74.420211,4,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
1861954,378,https://www.zameen.com/Property/lahore_bedian_road_1_kanal_house_for_sale-1861954-378-1.html,House,22500000,Bedian Road,Lahore,Punjab,31.473474,74.429569,4,1 Kanal,For Sale,4,04-04-2019,,,Kanal,1.0,1-5 Kanal
1871116,4445,https://www.zameen.com/Property/lahore_agrics_town_brand_new_a_standards_furnished_house_for_sale-1871116-4445-1.html,House,50000000,Agrics Town,Lahore,Punjab,31.441625,74.224648,7,18 Marla,For Sale,6,07-10-2019,,,Marla,18.0,15-20 Marla
1997947,3814,https://www.zameen.com/Property/gulberg_2_gulberg_2_block_g_10_marla_town_house_with_commercialization_for_sale-1997947-3814-1.html,House,39500000,Gulberg,Lahore,Punjab,31.526312,74.347959,6,10 Marla,For Sale,6,06-11-2019,,,Marla,10.0,5-10 Marla
2052081,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_12_marla_tariq_design_house_is_available_for_sale-2052081-9435-1.html,House,27500000,Askari,Lahore,Punjab,31.533161,74.419481,5,12 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,12.0,10-15 Marla
2146098,9747,https://www.zameen.com/Property/lahore_chaman_park_commercial_house_is_available_for_sale_facing_canal_bank_nayapul_u_turn-2146098-9747-1.html,House,40000000,Chaman Park,Lahore,Punjab,31.567912,74.399192,3,11 Marla,For Sale,6,01-04-2019,,,Marla,11.0,10-15 Marla
2311887,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_1_kanal_shelter_with_basement_on_main_boulevard_for_sale-2311887-9432-1.html,House,45000000,Askari,Lahore,Punjab,31.537239000000003,74.420211,6,1 Kanal,For Sale,5,06-18-2019,Forces Properties,Khalid Saeed Khan,Kanal,1.0,1-5 Kanal
2379549,1511,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_3_marla_double_storey_house_for_sale-2379549-1511-1.html,House,3200000,Chungi Amar Sadhu,Lahore,Punjab,31.450925,74.354287,2,3 Marla,For Sale,3,12-05-2018,,,Marla,3.0,0-5 Marla
2439750,9436,https://www.zameen.com/Property/askari_10_askari_10_sector_e_10_marla_rdi_design_house_available_for_sale-2439750-9436-1.html,House,21200000,Askari,Lahore,Punjab,31.536068,74.408666,4,10 Marla,For Sale,3,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2439775,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_10_marla_integrated_design_main_boulevard_available_for_sale-2439775-9433-1.html,House,23000000,Askari,Lahore,Punjab,31.537458,74.41332299999999,5,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2439785,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_10_marla_haider_design_is_available_for_sale-2439785-9434-1.html,House,21500000,Askari,Lahore,Punjab,31.53327,74.41358000000001,5,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2439790,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_integrated_design_well_maintained_house_for_sale-2439790-9435-1.html,House,21500000,Askari,Lahore,Punjab,31.533161,74.419481,5,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2471472,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_one_kanal_house_khalid_designed_main_boulevard_fully_renovated_available_for_sale-2471472-9433-1.html,House,40000000,Askari,Lahore,Punjab,31.537458,74.41332299999999,6,1 Kanal,For Sale,5,06-18-2019,Forces Properties,Khalid Saeed Khan,Kanal,1.0,1-5 Kanal
2471478,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_haider_design_facing_park_available_for_sale-2471478-9435-1.html,House,26000000,Askari,Lahore,Punjab,31.533161,74.419481,5,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2510609,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_10_marla_younis_design_available_for_sale-2510609-9433-1.html,House,21000000,Askari,Lahore,Punjab,31.537458,74.41332299999999,4,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2510625,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_10_marla_haider_design_facing_lake_open_view_for_sale-2510625-9434-1.html,House,23000000,Askari,Lahore,Punjab,31.53327,74.41358000000001,5,10 Marla,For Sale,4,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2510674,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_tipu_design_available_on_main_boulevard_for_sale-2510674-9435-1.html,House,23000000,Askari,Lahore,Punjab,31.533161,74.419481,6,10 Marla,For Sale,5,06-18-2019,Forces Properties,Khalid Saeed Khan,Marla,10.0,5-10 Marla
2747251,3749,https://www.zameen.com/Property/eme_society_eme_society_block_e_house_for_elegant_family_living-2747251-3749-1.html,House,57500000,EME Society,Lahore,Punjab,31.439978000000004,74.209685,5,1 Kanal,For Sale,5,04-03-2019,Punjaab Estates,Irfan Rehman Khan,Kanal,1.0,1-5 Kanal
